name,stationid,lat,lon
"Hampton Street, Walworth",152,51.49217002,-0.101536865
"Bayswater Road, Hyde Park",153,51.511933,-0.174411
"Waterloo Station 3, Waterloo",154,51.50379168,-0.11282408
"Lexham Gardens, Kensington",155,51.49586666,-0.191933711
"New Kent Road, The Borough",156,51.49443626,-0.092921165
"Wright's Lane, Kensington",157,51.50039792,-0.193068385
"Trebovir Road, Earl's Court",158,51.49085368,-0.196170309
"Waterloo Place, St. James's",160,51.50663341,-0.131773845
"Guildhouse Street, Victoria",161,51.49234577,-0.141334487
"Southampton Place, Holborn",162,51.51760685,-0.121328408
"Sloane Avenue, Knightsbridge",163,51.4931848,-0.167894973
"Cleveland Gardens, Bayswater",164,51.515607,-0.183118788
"Orsett Terrace, Bayswater",165,51.517932,-0.183716959
"Seville Street, Knightsbridge",166,51.50185512,-0.159237081
"Eccleston Place, Victoria",167,51.49395092,-0.147624377
"Argyll Road, Kensington",168,51.50040123,-0.195455928
"Porchester Place, Paddington",169,51.51474612,-0.165164288
"Hardwick Street, Clerkenwell",170,51.52784273,-0.108068155
"Collingham Gardens, Earl's Court",171,51.4916156,-0.186753859
"Sumner Place, South Kensington",172,51.49121192,-0.173715911
"Waterloo Road, South Bank",173,51.50486,-0.113001
"Strand, Strand",174,51.512582,-0.1150573
"Worship Street, Shoreditch",175,51.521668,-0.079608554
"Gloucester Terrace, Bayswater",176,51.51791921,-0.188098863
"Ashley Place, Victoria",177,51.49616092,-0.140947636
"Warwick Square, Pimlico",178,51.48985626,-0.141923621
"North Audley Street, Mayfair",180,51.5129118,-0.153645496
"Belgrave Square, Belgravia",181,51.49941247,-0.152317537
"Bell Street , Marylebone",182,51.52202903,-0.165842551
"Riverlight North, Nine Elms",183,51.482362,-0.13612398
"Portland Place, Marylebone",184,51.52071513,-0.14521173
"Alderney Street, Pimlico",185,51.48805753,-0.140741432
"South Wharf Road, Paddington",186,51.51733558,-0.175810943
"Queen's Gate (South), South Kensington",187,51.49247977,-0.178433004
"Nutford Place, Marylebone",188,51.5165179,-0.164393768
"Claremont Square, Angel",189,51.53166681,-0.109914711
"Rampayne Street, Pimlico",190,51.48997562,-0.132845681
"Hyde Park Corner, Hyde Park",191,51.50311799,-0.153520935
"Wardour Street, Soho",192,51.51251523,-0.133201961
"Bankside Mix, Bankside",193,51.50581776,-0.100186337
"Hop Exchange, The Borough",194,51.50462759,-0.091773776
"Milroy Walk, South Bank",195,51.50724437,-0.106237501
"Union Street, The Borough",196,51.50368837,-0.098497684
"Stamford Street, South Bank",197,51.50556905,-0.111606696
"Great Tower Street, Monument",199,51.51048489,-0.082989638
"LMU Commercial Road, Whitechapel",200,51.51492456,-0.066078037
"Dorset Square, Marylebone",201,51.5225965,-0.161113413
"Leman Street, Aldgate",202,51.51236389,-0.06954201
"West Smithfield Rotunda, Farringdon",203,51.51821864,-0.100791005
"Margery Street, Clerkenwell",204,51.52659961,-0.112432615
"New Road 1 , Whitechapel",206,51.518154,-0.062697
"Grosvenor Crescent, Belgravia",207,51.50135267,-0.153194766
"Mallory Street, Marylebone",208,51.52505151,-0.166304359
"Denyer Street, Knightsbridge",209,51.49358391,-0.165101392
"Hinde Street, Marylebone",210,51.51681444,-0.151926305
"Cadogan Place, Knightsbridge",211,51.49464523,-0.158105512
"Campden Hill Road, Notting Hill",212,51.50658458,-0.199004026
"Wellington Arch, Hyde Park",213,51.50274025,-0.149569201
"Endsleigh Gardens, Euston",214,51.52683806,-0.130504336
"Moorfields, Moorgate",215,51.51906932,-0.088285377
"Old Brompton Road, South Kensington",216,51.49094565,-0.181190899
"Wormwood Street, Liverpool Street",217,51.51615461,-0.082422399
"St. Luke's Church, Chelsea",218,51.48971651,-0.170194408
"Bramham Gardens, Earl's Court",219,51.49016361,-0.19039362
"Chelsea Green, Chelsea",220,51.49066456,-0.166485083
"Horseferry Road, Westminster",221,51.49481649,-0.13045856
"Knightsbridge, Hyde Park",222,51.50275704,-0.155349725
"Rodney Road , Walworth",223,51.49148474,-0.090220911
"Queensway, Kensington Gardens",224,51.51031,-0.18740235
"Notting Hill Gate Station, Notting Hill",225,51.50935342,-0.196422
"Charles II Street, West End",226,51.50844614,-0.131961389
"Great Percy Street, Clerkenwell",227,51.52891573,-0.115480888
"St. James's Square, St. James's",228,51.50742485,-0.134621209
"Whitehall Place, Strand",229,51.50654321,-0.123179697
"Poured Lines, Bankside",230,51.50669284,-0.103137426
"Queen's Gate (Central), South Kensington",231,51.49396755,-0.17873226
"Carey Street, Holborn",232,51.51501025,-0.112753217
"Pall Mall East, West End",233,51.50777049,-0.130699733
"Liverpool Road (N1 Centre), Angel",234,51.53450449,-0.106992706
"Kennington Road  , Vauxhall",235,51.49571828,-0.110889274
"Fashion Street, Whitechapel",236,51.51838043,-0.073438925
"Dock Street, Wapping",237,51.50978602,-0.068161981
"Frampton Street, Paddington",238,51.5233534,-0.175116099
"Warren Street Station, Euston",239,51.52443845,-0.138019439
"Colombo Street, Southwark",240,51.50545935,-0.10569204
"Beaumont Street, Marylebone",242,51.52200801,-0.151359288
"Gloucester Street, Pimlico",243,51.49096258,-0.139625122
"Earnshaw Street , Covent Garden",244,51.51611887,-0.128585022
"Grosvenor Road, Pimlico",245,51.4853572,-0.142207481
"Berry Street, Clerkenwell",246,51.52285301,-0.099994052
"St. John's Wood Church, The Regent's Park",247,51.530529,-0.167515
"Triangle Car Park, Hyde Park",248,51.50645179,-0.170279555
"Harper Road, The Borough",249,51.49859784,-0.096191134
"Royal Avenue 1, Chelsea",250,51.489932,-0.162727
"Brushfield Street, Liverpool Street",251,51.518908,-0.079249
"Jubilee Gardens, South Bank",252,51.5046364,-0.116542278
"Shoreditch Park, Hoxton",253,51.53404294,-0.086379717
"Chadwell Street, Angel",254,51.53051587,-0.106408455
"Clifton Road, Maida Vale",255,51.52557531,-0.179592915
"Houghton Street, Strand",256,51.51362054,-0.116764211
"Westminster University, Marylebone",257,51.52248185,-0.154907218
"Kensington Gore, Knightsbridge",258,51.50143293,-0.178656971
"Bourne Street, Belgravia",259,51.490959,-0.1532331
"Broadwick Street, Soho",260,51.5136846,-0.135580879
"Princes Square, Bayswater",261,51.5134891,-0.191351186
"LSBU (Borough Road), Elephant & Castle",262,51.49874469,-0.103132904
"St. Mary Axe, Aldgate",263,51.51422502,-0.080660083
"Tysoe Street, Clerkenwell",264,51.52644342,-0.109256828
"Southwick Street, Paddington",265,51.51595344,-0.169249375
"Queen's Gate (North), Kensington",266,51.50102668,-0.180246101
"Regency Street, Westminster",267,51.49206037,-0.132224622
"Belgrave Road, Victoria",268,51.49320445,-0.144132875
"Empire Square, The Borough",269,51.50082346,-0.089740764
"Kennington Lane Rail Bridge, Vauxhall",270,51.4863434,-0.122492418
"London Zoo,  The Regent's Park",271,51.53583617,-0.156285395
"Baylis Road, Waterloo",272,51.50144456,-0.110699309
"Belvedere Road 1, South Bank",273,51.50613324,-0.114686385
"Warwick Road, Olympia",274,51.49671237,-0.20528437
"Barbican Centre, Barbican",275,51.52004497,-0.092176447
"Lower Thames Street, Monument",276,51.50930161,-0.084985356
"Kensington Church Street, Kensington",277,51.50315739,-0.191496313
"Tooley Street, Bermondsey",278,51.5034938,-0.07962099
"North Wharf Road, Paddington",279,51.51862243,-0.176645823
"Royal Avenue 2, Chelsea",280,51.490083,-0.162418
"Smith Square, Westminster",281,51.49580589,-0.127575233
"Royal London Hospital, Whitechapel",282,51.518675,-0.06111
"Kingsway, Covent Garden",283,51.51440928,-0.118478757
"Lambeth North Station, Waterloo",284,51.49914063,-0.112031483
"St. John's Wood Road, St. John's Wood",286,51.5272947,-0.174653609
"Bedford Way, Bloomsbury",287,51.52367314,-0.128377673
"Elizabeth Bridge, Victoria",288,51.49236962,-0.147478734
"South Audley Street, Mayfair",289,51.50923022,-0.151296092
"St Mary's Hospital, Paddington",290,51.518268,-0.17110323
"Claverton Street, Pimlico",291,51.48483991,-0.138089062
"Montpelier Street, Knightsbridge",292,51.49888404,-0.165471605
"Kensington Olympia Station, Olympia",293,51.49815779,-0.209494128
"St. George's Square, Pimlico",294,51.488226,-0.135635511
"Swan Street, The Borough",295,51.50029631,-0.092762704
"Knaresborough Place, Earl's Court",296,51.49363156,-0.190603326
"Geraldine Street, Elephant & Castle",297,51.49612799,-0.106000855
"Curlew Street, Shad Thames",298,51.50227992,-0.074189225
"Vincent Square, Westminster",299,51.49398524,-0.136928582
"Serpentine Car Park, Hyde Park",300,51.505014,-0.17306032
"Marylebone Lane, Marylebone",301,51.51475963,-0.148105415
"Putney Pier, Wandsworth",302,51.466907,-0.216573
"Albert Gate, Hyde Park",303,51.50295379,-0.158456089
"Rathbone Street, Fitzrovia",306,51.51816295,-0.135025698
"Black Lion Gate, Kensington Gardens",307,51.50990837,-0.187842717
"Long Lane , Bermondsey",308,51.49907558,-0.085666316
"Embankment (Savoy), Strand",309,51.50963123,-0.119047563
"Black Prince Road, Vauxhall",310,51.4908679,-0.116911864
"Foley Street, Fitzrovia",311,51.51918144,-0.140485596
"Grove End Road, St. John's Wood",312,51.53088935,-0.176770502
"Wells Street, Fitzrovia",313,51.51734403,-0.138072691
"Tyers Gate, Bermondsey",314,51.50088934,-0.083159352
"The Tennis Courts, The Regent's Park",315,51.52536703,-0.153463612
"Warwick Row, Westminster",316,51.497998,-0.14296064
"Dickens Square, Borough",317,51.49679128,-0.093913472
"Sackville Street, Mayfair",318,51.51004801,-0.138846453
"Baldwin Street, St. Luke's",319,51.52702563,-0.088542771
"Queen Mother Sports Centre, Victoria",320,51.49357351,-0.139956043
"Bermondsey Street, Bermondsey",321,51.49785559,-0.081608045
"Palissy Street, Shoreditch",322,51.526293,-0.073955
"Clifton Street, Shoreditch",323,51.523196,-0.083067
"Ontario Street, Elephant & Castle",324,51.49652013,-0.101384068
"St. Martin's Street, West End",325,51.50908747,-0.129697889
"Graham Street, Angel",326,51.53266186,-0.099981142
"New North Road 1, Hoxton",327,51.53095,-0.085603
"New North Road 2, Hoxton",328,51.53114,-0.086016
"Prince Albert Road, The Regent's Park",329,51.53589283,-0.160854428
"Eastbourne Mews, Paddington",330,51.51641749,-0.179135079
"Bunhill Row, Moorgate",331,51.52085887,-0.089887855
"Nevern Place, Earl's Court",332,51.49334336,-0.194757949
"Palace Gardens Terrace, Notting Hill",333,51.50860544,-0.193764092
"Concert Hall Approach 1, South Bank",334,51.505044,-0.115851
"Tavistock Street, Covent Garden",335,51.51196803,-0.120718759
"Concert Hall Approach 2, South Bank",336,51.504942,-0.115533
"Pembridge Villas, Notting Hill",337,51.51108452,-0.197524944
"Wellington Street , Strand",338,51.51175646,-0.119643424
"Risinghill Street, Angel",339,51.5333196,-0.1117812
"Bank of England Museum, Bank",340,51.51444134,-0.087587447
"Craven Street, Strand",341,51.50810309,-0.12602103
"London Zoo Car Park, The Regent's Park",343,51.53692216,-0.150181444
"Goswell Road (City Uni), Finsbury",344,51.528246,-0.10102611
"Flood Street, Chelsea",345,51.48802358,-0.166878535
"Lower Marsh, Waterloo",347,51.50013942,-0.113936001
"Grosvenor Square, Mayfair",348,51.51217033,-0.150481272
"St. George Street, Mayfair",349,51.51196,-0.142783033
"Queen's Gate, Kensington Gardens",350,51.50171544,-0.179854184
"Macclesfield Rd, St Lukes",351,51.529423,-0.097122
"Vauxhall Street, Vauxhall",352,51.486965,-0.116625
"Greycoat Street , Westminster",353,51.49459148,-0.134234258
"Northumberland Avenue, Strand",354,51.506767,-0.123702
"Clapham Common Station, Clapham Common",355,51.461388,-0.13922146
"South Kensington Station, South Kensington",356,51.494412,-0.173881
"Howland Street, Fitzrovia",357,51.520994,-0.139016
"High Holborn , Covent Garden",358,51.516226,-0.124826
"Butler Place, Westminster",359,51.49782999,-0.135440826
"Howick Place, Westminster",360,51.49675303,-0.138733562
"Waterloo Station 2, Waterloo",361,51.50391973,-0.11342629
"Royal College Street, Camden Town",362,51.536264,-0.133952
"Lord's, St. John's Wood",363,51.5291212,-0.171185285
"Store Street, Bloomsbury",364,51.519572,-0.13214036
"City Road, Angel",365,51.530344,-0.100168
"Harrowby Street, Marylebone",367,51.5173721,-0.1642075
"Harriet Street, Knightsbridge",368,51.50024195,-0.15934065
"Paddington Green, Paddington",370,51.520205,-0.174593
"King Edward Walk, Waterloo",371,51.49775,-0.10988
"Sardinia Street, Holborn",372,51.515208,-0.117863
"Prince Consort Road, Knightsbridge",373,51.49980661,-0.176415994
"Waterloo Station 1, Waterloo",374,51.50402794,-0.11386436
"Kensington Town Hall, Kensington",375,51.50194596,-0.194392952
"Millbank Tower, Pimlico",376,51.49188409,-0.125674815
"Waterloo Bridge, South Bank",377,51.50535447,-0.113656543
"Natural History Museum, South Kensington",378,51.49559291,-0.179077626
"Turquoise Island, Notting Hill",379,51.51431171,-0.200838199
"Stanhope Gate, Mayfair",380,51.50686435,-0.150666888
"Charlotte Street, Fitzrovia",381,51.51953043,-0.13577731
"Farm Street, Mayfair",382,51.50935171,-0.14744969
"Frith Street, Soho",383,51.51310333,-0.13121385
"Marloes Road, Kensington",384,51.496481,-0.192404
"Moor Street, Soho",386,51.51352755,-0.130110822
"Fire Brigade Pier, Vauxhall",387,51.49369988,-0.121394101
"Southampton Street, Strand",388,51.51070161,-0.121723604
"Upper Grosvenor Street, Mayfair",389,51.51013066,-0.155757901
"Buxton Street 1, Shoreditch",390,51.521776,-0.068856
"Clifford Street, Mayfair",391,51.51066202,-0.142345694
"Imperial College, Knightsbridge",392,51.49942855,-0.179702476
"Snow Hill, Farringdon",393,51.51733427,-0.103604248
"Aberdeen Place, St. John's Wood",394,51.524826,-0.176268
"Cadogan Gardens, Chelsea",395,51.492462,-0.159919
"Shouldham Street, Marylebone",396,51.51809,-0.163609
"Devonshire Terrace, Bayswater",397,51.51348,-0.17977
"Holland Park, Kensington",398,51.502319,-0.200742
"Brick Lane Market, Shoreditch",399,51.52261762,-0.071653961
"George Street, Marylebone",400,51.517703,-0.154106
"Columbia Road, Shoreditch",401,51.528187,-0.075375
"Penfold Street, Marylebone",402,51.52289229,-0.171681991
"George Place Mews, Marylebone",403,51.51689296,-0.158249929
"Palace Gate, Kensington Gardens",404,51.50204238,-0.184400221
"Gloucester Road Station, South Kensington",405,51.49418566,-0.18267094
"Sun Street, Liverpool Street",408,51.520009,-0.083935724
"Strata, Elephant & Castle",409,51.493146,-0.099828
"Edgware Road Station, Marylebone",410,51.519968,-0.169774
"Rotherhithe Roundabout, Rotherhithe",411,51.499169,-0.055846029
"Cleaver Street, Kennington",412,51.488105,-0.110121
"Chelsea Bridge, Pimlico",419,51.485821,-0.149004
"Southwark Station 1, Southwark",420,51.504043,-0.105312
"Southwark Station 2, Southwark",421,51.504044,-0.104778
"Eaton Square (South), Belgravia",423,51.49456127,-0.15393398
"Ebury Bridge, Pimlico",424,51.490491,-0.149186
"Vincent Street, Pimlico",426,51.493072,-0.129925
"Cheapside, Bank",427,51.51397065,-0.09294031
"Exhibition Road, Knightsbridge",428,51.499917,-0.174554
"South Parade, Chelsea",430,51.48902,-0.17524
"Crinan Street, King's Cross",431,51.534474,-0.122203
"Exhibition Road Museums 1, South Kensington",432,51.496468,-0.17379696
"Wren Street, Holborn",433,51.524564,-0.116279
"Kennington Station, Kennington",435,51.488852,-0.105593
"Red Lion Street, Holborn",436,51.51824,-0.11655
"Vauxhall Walk, Vauxhall",437,51.488124,-0.120903
"Killick Street, King's Cross",439,51.5338,-0.118677
"Kennington Oval, Oval",440,51.483145,-0.113134
"Sail Street, Vauxhall",441,51.495656,-0.114605
"Walmer Road, Avondale",442,51.510101,-0.211358
"Philpot Street, Whitechapel",443,51.515256,-0.058641
"Bethnal Green Garden, Bethnal Green",444,51.52568,-0.055312
"Cheshire Street, Bethnal Green",445,51.52388,-0.065076
"York Hall, Bethnal Green",446,51.528936,-0.055894
"Jubilee Crescent, Cubitt Town",447,51.493381,-0.007542
"Fisherman's Walk West, Canary Wharf",448,51.50623,-0.02296
"Shadwell Station, Shadwell",449,51.511088,-0.057159
"Jubilee Street, Stepney",450,51.515975,-0.053177
"Hermitage Court, Wapping",451,51.504719,-0.063531
"St. Katharine's Way, Tower",452,51.505697,-0.070542
"Garnet Street, Shadwell",453,51.508447,-0.055167
"Napier Avenue, Millwall",454,51.487679,-0.021582
"East Ferry Road, Cubitt Town",455,51.49447,-0.014409
"Parkway, Camden Town",456,51.538071,-0.144664
"Castlehaven Road, Camden Town",457,51.542138,-0.145393
"Wapping Lane, Wapping",458,51.504749,-0.057544
"Gunmakers Lane, Old Ford",459,51.535179,-0.03338
"Burdett Road, Mile End",460,51.516196,-0.029138
"Aston Street, Stepney",461,51.516,-0.038775
"Bonny Street, Camden Town",462,51.541603,-0.138853
"Thurtle Road, Haggerston",463,51.534776,-0.071881
"St. Mary & St. Michael Church, Stepney",464,51.51417,-0.052099
"Pitfield Street North,Hoxton",465,51.53558,-0.08249
"Whiston Road, Haggerston",466,51.534464,-0.076341
"Southern Grove, Bow",467,51.523538,-0.030556
"Cantrell Road, Bow",468,51.521564,-0.022694
"Lindfield Street, Poplar",469,51.513757,-0.020467
"Mostyn Grove, Bow",470,51.530535,-0.025492
"Hewison Street, Old Ford",471,51.533283,-0.028155
"Malmesbury Road, Bow",472,51.529452,-0.027616
"Millharbour, Millwall",473,51.496137,-0.019355
"Gascoyne Road, Victoria Park",474,51.541515,-0.038557746
"Lightermans Road, Millwall",475,51.499041,-0.020157
"Stebondale Street, Cubitt Town",476,51.489096,-0.009205
"Spindrift Avenue, Millwall",477,51.49109,-0.018716
"Stepney Green Station, Stepney",478,51.521889,-0.04667
"Pott Street, Bethnal Green",479,51.527152,-0.058005
"Flamborough Street, Limehouse",480,51.5128711,-0.0389866
"Saunders Ness Road, Cubitt Town",481,51.487129,-0.0090011
"Exhibition Road Museums 2, South Kensington",482,51.495947,-0.17368958
"Albert Gardens, Stepney",483,51.51328,-0.047784
"Bromley High Street, Bow",484,51.528828,-0.013258
"Old Ford Road, Bethnal Green",485,51.531127,-0.048017
"Granby Street, Shoreditch",486,51.525645,-0.069543
"Canton Street, Poplar",487,51.511811,-0.025626
"Reardon Street, Wapping",488,51.506946,-0.058681
"Queen Mary's, Mile End",491,51.522507,-0.041378
"Maplin Street, Mile End",492,51.525501,-0.032267204
"South Quay East, Canary Wharf",494,51.50196,-0.016251
"Bow Church Station, Bow",495,51.528169,-0.018703
"Devons Road, Bow",496,51.52512,-0.015578
"Merchant Street, Bow",497,51.526578,-0.027581
"Bow Road Station, Bow",498,51.527058,-0.025296
"Furze Green, Bow",499,51.519265,-0.021345
"Ansell House, Stepney",500,51.520019,-0.05438
"Cephas Street, Bethnal Green",501,51.522561,-0.054883
"Bonner Gate, Victoria Park",502,51.53341,-0.049591815
"Cleveland Way, Stepney",503,51.520893,-0.051394
"St. John's Park, Cubitt Town",504,51.496454,-0.009506
"Ackroyd Drive, Bow",505,51.520398,-0.026768
"Bell Lane, Liverpool Street",506,51.517475,-0.075855
"Clarkson Street, Bethnal Green",507,51.528692,-0.059091
"Fournier Street, Whitechapel",508,51.519362,-0.074431
"Fore Street, Guildhall",509,51.517842,-0.090075
"Westferry DLR, Limehouse",510,51.509303,-0.025996
